perturbation_id,des_k,mae_top2000_k,rank_Rk_norm,overall_score,rank_Rk,cosine_self,n_true_de,n_pred_de,n_intersect,n_cells
AKT2,0.032271410839884156,0.0636143907904625,0.7333333333333333,16.477373929395203,22,0.002589327050372958,2417,15031,78,938
MAP3K7,0.025756600128783,0.03119368851184845,0.7666666666666667,25.067915073702054,23,-0.027805564925074577,1553,16101,40,2019
ZNF426,0.02302025782688766,0.030201297253370285,0.5666666666666667,25.330869832175335,17,0.06101372092962265,1086,15881,25,1132
DNMT1,0.44600431965442766,0.28488555550575256,0.5333333333333333,12.6425516210804,16,0.09068498760461807,9260,15926,4130,893
SRC,0.03345925526173772,0.03456176817417145,0.6333333333333333,24.175472131910055,19,0.04331594333052635,1853,16254,62,2403
MED13,0.2159526297457332,0.09805741906166077,0.3333333333333333,23.230838069275894,10,0.15141630172729492,5742,16098,1240,2787
KDR,0.026415094339622643,0.02712070196866989,0.8333333333333334,26.14713779314523,25,-0.07949458062648773,1325,16077,35,2056
EIF4B,0.2002396029436933,0.11239118129014969,0.6666666666666666,7.0166101095236675,20,0.03647614270448685,5843,15828,1170,1585
SIX4,0.03026070763500931,0.05533716455101967,0.4,26.19914417362485,12,0.12265434116125107,2148,14729,65,642
TFAM,0.16340599962735233,0.12277857959270477,0.23333333333333334,21.169121900006193,7,0.29654210805892944,5367,15526,877,1105
MAST2,0.03224155578300921,0.03920143097639084,0.6,22.94609672061716,18,0.058783307671546936,1954,16052,63,1029
SMAGP,0.027586206896551724,0.08791106939315796,0.7,10.039462269963444,21,0.010544911958277225,2320,15326,64,788
XRCC4,0.18744945819181627,0.10590343922376633,0.06666666666666667,37.290518382247754,2,0.449124276638031,6183,15706,1159,591
HMGN1,0.03234042553191489,0.02773011475801468,0.8666666666666667,25.985661166397804,26,-0.11293566972017288,1175,16279,38,2004
GSK3B,0.11557417447018235,0.11792213469743729,0.5,3.4663110085346234,15,0.09783624112606049,4058,15434,469,1059
TMBIM6,0.028544688816097334,0.059697333723306656,0.9666666666666667,17.515279882536657,29,-0.33767178654670715,2137,14424,61,505
PMEL,0.029994916115912557,0.07348474115133286,0.9,13.862018772831783,27,-0.12822744250297546,1967,14055,59,356
DAXX,0.08202323991797676,0.0635865181684494,0.4666666666666667,19.71250810922375,14,0.10766074806451797,2926,15458,240,1332
METTL14,0.4116253824138952,0.5076608657836914,0.16666666666666666,33.93989653821989,5,0.3981075882911682,10133,14888,4171,468
MAU2,0.3077311136334973,0.24472738802433014,0.36666666666666664,17.157231667853225,11,0.14212246239185333,7929,15757,2440,1021
NDUFB4,0.05148373257061137,0.06877253949642181,0.9333333333333333,15.11061486581298,28,-0.1897682249546051,2797,16231,144,1413
KDM1A,0.46696279844530814,0.4978264272212982,0.03333333333333333,44.608249035469534,1,0.4963955879211426,10806,14741,5046,352
TXNDC9,0.13917808219178082,0.08700419962406158,0.13333333333333333,36.194615714264735,4,0.4171070456504822,5475,15616,762,514
CALM3,0.07780898876404495,0.06920170783996582,1.0,14.996897763655056,30,-0.49509918689727783,3560,14924,277,681
C1QBP,0.17774420946626385,0.12730364501476288,0.1,29.50563652304124,3,0.43652600049972534,5958,15351,1059,711
MBTPS1,0.15118465588567132,0.19012905657291412,0.26666666666666666,17.761688579674274,8,0.24635392427444458,5318,15070,804,626
ZNF562,0.019363762102351315,0.0500694140791893,0.8,20.066397965238657,24,-0.044616635888814926,723,14266,14,418
PHF10,0.02824074074074074,0.1128268912434578,0.3,17.41723893832859,9,0.22515131533145905,2160,14303,61,450
FDPS,0.0273109243697479,0.2671377658843994,0.43333333333333335,5.378147646388406,13,0.12021394073963165,2856,13401,78,154
OXA1L,0.021198830409356724,0.28370219469070435,0.2,20.43093993935875,6,0.30744612216949463,1368,12456,29,63
