perturbation_id,des_k,mae_top2000_k,rank_Rk_norm,overall_score,rank_Rk,cosine_self,n_true_de,n_pred_de,n_intersect,n_cells
AKT2,0.09912536443148688,0.06311629712581635,0.6666666666666666,18.524865303052522,20,0.05957552418112755,343,15131,34,938
MAP3K7,0.07017543859649122,0.03557216003537178,0.9,24.813635950570667,27,-0.08395936340093613,114,16053,8,2019
ZNF426,0.0,0.02843596786260605,0.6333333333333333,25.798630667036022,19,0.06480426341295242,15,15739,0,1132
DNMT1,0.5815783103364802,0.27861475944519043,0.5666666666666667,18.740960812460074,17,0.21046039462089539,8262,15491,4805,893
SRC,0.1943127962085308,0.02753354236483574,0.4666666666666667,34.50064953416678,14,0.25179678201675415,211,16078,41,2403
MED13,0.4471619750807568,0.08375784009695053,0.23333333333333334,43.47370609544074,7,0.5098371505737305,4334,16367,1938,2787
KDR,0.0,0.03287006542086601,0.8333333333333334,24.623724053824585,25,-0.06703359633684158,19,15982,0,2056
EIF4B,0.370361387339316,0.11259224265813828,0.7333333333333333,14.874483710096875,22,0.013541335240006447,4123,15780,1527,1585
SIX4,0.0875,0.053485795855522156,0.6,20.67123518813261,18,0.1008056178689003,80,14697,7,642
TFAM,0.5710399665201925,0.1084074079990387,0.26666666666666666,39.112110268450515,8,0.46367162466049194,4779,15802,2729,1105
MAST2,0.0,0.038432247936725616,0.7,23.14990780690895,21,0.05084385350346565,22,15386,0,1029
SMAGP,0.21635220125786164,0.08092034608125687,0.5333333333333333,17.895573687616295,16,0.2179800420999527,795,15255,172,788
XRCC4,0.5368600682593857,0.08986254781484604,0.16666666666666666,49.285137293284706,5,0.5546473860740662,2930,15145,1573,591
HMGN1,0.0,0.03339535742998123,0.8666666666666667,24.484536981986956,26,-0.08191818743944168,16,16205,0,2004
GSK3B,0.24729666196520922,0.11143948882818222,0.5,11.965422105113198,15,0.22640442848205566,2127,15090,526,1059
TMBIM6,0.0,0.06676393747329712,0.9666666666666667,15.642835857631923,29,-0.28564879298210144,35,13711,0,505
PMEL,0.03333333333333333,0.08046165108680725,0.9333333333333333,12.013340994486683,28,-0.22681887447834015,30,14425,1,356
DAXX,0.1626984126984127,0.05632647126913071,0.43333333333333335,27.91921620980759,13,0.2527974247932434,756,15959,123,1332
METTL14,0.6683131897004729,0.49728623032569885,0.3333333333333333,33.595166680701254,10,0.41441717743873596,9515,14722,6359,468
MAU2,0.5792577675489068,0.22979657351970673,0.2,39.09097228744088,6,0.5238355398178101,6952,15725,4027,1021
NDUFB4,0.15882806476484193,0.07025906443595886,0.8,18.714359856568553,24,-0.025310644879937172,1297,15739,206,1413
KDM1A,0.6684190031152648,0.48181548714637756,0.06666666666666667,50.802048094289454,2,0.6114357709884644,10272,14072,6866,352
TXNDC9,0.2158273381294964,0.07072965800762177,0.1,47.45964114124026,3,0.5845628380775452,417,14460,90,514
CALM3,0.05426356589147287,0.07963454723358154,1.0,12.583464250583265,30,-0.46422988176345825,129,14881,7,681
C1QBP,0.5357230542597594,0.11059579998254776,0.03333333333333333,52.35337223742219,1,0.6286686062812805,4073,15136,2182,711
MBTPS1,0.3900896151818661,0.17635630071163177,0.3,26.04257421056097,9,0.4506083130836487,3794,14476,1480,626
ZNF562,0.0,0.04993737116456032,0.7666666666666667,20.101385488987724,23,0.0013953616144135594,19,14466,0,418
PHF10,0.1602136181575434,0.10279534012079239,0.36666666666666664,19.820461469313024,11,0.3278385102748871,749,14104,120,450
FDPS,0.36894036894036897,0.25573650002479553,0.4,18.853801791961867,12,0.2994840145111084,2331,12236,860,154
OXA1L,0.1830065359477124,0.26807206869125366,0.13333333333333333,29.572587843638644,4,0.5583123564720154,918,10660,168,63
