perturbation_id,des_k,mae_top2000_k,rank_Rk_norm,overall_score,rank_Rk,cosine_self,n_true_de,n_pred_de,n_intersect,n_cells
AKT2,0.033973412112259974,0.06311629712581635,0.6666666666666666,16.60935423269307,20,0.05957551300525665,2031,16289,69,938
MAP3K7,0.025129342202512936,0.03557216003537178,0.9,23.907747738375253,27,-0.08395934104919434,1353,16641,34,2019
ZNF426,0.027777777777777776,0.02843596786260605,0.6333333333333333,25.798630667036022,19,0.06480427086353302,1260,15794,35,1132
DNMT1,0.39169879791335904,0.2786147892475128,0.5666666666666667,10.614334189107716,17,0.21046045422554016,8818,15904,3454,893
SRC,0.11313570845798206,0.02753354236483574,0.4666666666666667,29.475979844549588,14,0.25179681181907654,3677,16396,416,2403
MED13,0.23642276422764227,0.08375784009695053,0.23333333333333334,34.235530568687864,7,0.5098372101783752,6150,16886,1454,2787
KDR,0.14781659388646287,0.03287006542086601,0.8333333333333334,26.129479194308725,25,-0.06703360378742218,4580,16193,677,2056
EIF4B,0.20440402106270944,0.11259224265813828,0.7333333333333333,7.118868530606861,22,0.013541332446038723,6267,16860,1281,1585
SIX4,0.017527675276752766,0.053485795855522156,0.6,19.16115637108581,18,0.1008056253194809,2168,16129,38,642
TFAM,0.1501908396946565,0.1084074079990387,0.26666666666666666,22.333101203576962,8,0.4636714458465576,5240,16190,787,1105
MAST2,0.023109243697478993,0.038432247936725616,0.7,23.14990780690895,21,0.050843849778175354,1428,16009,33,1029
SMAGP,0.031643156690812045,0.08092034608125687,0.5333333333333333,11.891800190445979,16,0.2179800122976303,2623,15549,83,788
XRCC4,0.07761998041136141,0.08986254781484604,0.16666666666666666,32.10371620590989,5,0.5546470880508423,4084,15569,317,591
HMGN1,0.03011712214166202,0.03339535742998123,0.8666666666666667,24.484536981986956,26,-0.08191817253828049,1793,16535,54,2004
GSK3B,0.10251256281407035,0.11143948882818222,0.5,4.882466746069847,15,0.22640439867973328,3980,15832,408,1059
TMBIM6,0.028959810874704492,0.06676393747329712,0.9666666666666667,15.642835857631923,29,-0.28564879298210144,1692,15255,49,505
PMEL,0.034375,0.08046165108680725,0.9333333333333333,12.013340994486683,28,-0.22681891918182373,2880,16297,99,356
DAXX,0.034227240649259,0.05632647126913071,0.43333333333333335,23.786607829448634,13,0.252797394990921,2834,16420,97,1332
METTL14,0.40250955788648174,0.49728623032569885,0.3333333333333333,22.84744174343104,10,0.41441717743873596,10201,15445,4106,468
MAU2,0.2841357537490134,0.22979657351970673,0.2,27.027980228771014,6,0.5238354802131653,7602,15754,2160,1021
NDUFB4,0.032426778242677826,0.07025906443595886,0.8,14.716729084271632,24,-0.025310644879937172,2868,16677,93,1413
KDM1A,0.4900770276393294,0.48181548714637756,0.06666666666666667,43.32112667033077,2,0.6114358901977539,11035,15855,5408,352
TXNDC9,0.02731193100143747,0.07072965800762177,0.1,41.474172140420826,3,0.5845628976821899,2087,15286,57,514
CALM3,0.1621045147529328,0.07963454723358154,1.0,14.27188371266395,30,-0.46422985196113586,5626,15070,912,681
C1QBP,0.14342705167173253,0.11059579998254776,0.03333333333333333,36.55341760635192,1,0.6286687254905701,5264,15751,755,711
MBTPS1,0.1196510178645617,0.17635630071163177,0.3,14.433562770459668,9,0.45060819387435913,4814,14983,576,626
ZNF562,0.016624040920716114,0.04993737116456032,0.7666666666666667,20.101385488987724,23,0.0013953633606433868,782,14843,13,418
PHF10,0.02678963548528766,0.10279534012079239,0.36666666666666664,15.774509800290804,11,0.32783859968185425,2277,14862,61,450
FDPS,0.03349282296650718,0.25573650002479553,0.4,7.528546545384169,12,0.2994840145111084,3135,13648,105,154
OXA1L,0.021426385062748698,0.26807206869125366,0.13333333333333333,24.731737737350283,4,0.5583122372627258,3267,13701,70,63
